Title,Genre,Type,Score
Breaking Bad,,Show,9.5
Shawshank Redemption,,Movie,9.3
Chernobyl,,Show,9.3
Game of Thrones,,Show,9.2
Attack on Titan,,Anime,9.1
Sherlock,,Show,9.1
Fullmetal Alchemist: Brotherhood,,Anime,9.1
Better Call Saul,,Show,9
The Office,,Show,9
One Piece,,Anime,9
Arcane,,Anime,9
The Dark Knight,,Movie,9
Pulp Fiction,,Movie,8.9
Frieren: Beyond Journey's End,,Anime,8.9
Vinland Saga,,Anime,8.8
Forest Gump,,Movie,8.8
X-Men '97,,Anime,8.8
Last Week Tonight with John Oliver,,Show,8.8
Invincible,,,8.7
The Last of Us,,,8.7
Black Mirror,,,8.7
1883,,,8.7
House,,,8.7
Goodfellas,,,8.7
The Matrix,,,8.7
Narcos,,,8.7
Naruto: Shippuden,,,8.7
Fleabag,,,8.7
One Punch Man,,,8.7
Primal,,,8.7
Don't Hug Me I'm Scared,,,8.7
Yellowstone,,,8.7
Dexter,,,8.6
Stranger Things,,,8.6
The Boys,,,8.6
Demon Slayer,,,8.6
Shogun,,,8.6
The Penguin,,,8.6
Parks and Recreation,,,8.6
Mindhunter,,,8.6
Spirited Away,,,8.6
Modern Family,,,8.5
Jujutsu Kaisen,,,8.5
Parasite,,,8.5
The Last Kingdom,,,8.5
Django Unchained,,,8.5
Whiplash,,,8.5
Hannibal,,,8.5
Back to the Future,,,8.5
Mob Psycho 100,,,8.5
Kaguya-sama: Love is War,,,8.5
Supernatural,,,8.4
Scrubs,,,8.4
Avengers: Endgame,,,8.4
Avengers: Infinity War,,,8.4
Dandadan,,,8.4
Spider-Man: Into the Spider-Verse,,,8.4
Wall-E,,,8.4
Falllout,,,8.3
Barry,,,8.3
Joker,,,8.3
Chainsaw Man,,,8.3
Peacemaker,,,8.3
Kaiju No. 8,,,8.3
Castlevania,,,8.3
Parasyte: The Maxim,,,8.3
The Wild Robot,,,8.2
The Wolf of Wall Street,,,8.2
Top Gun: Maverick,,,8.2
My Hero Academia,,,8.2
White Collar,,,8.2
No Country for Old Men,,,8.2
Spider-Man: No Way Home,,,8.2
Bleach,,,8.2
Batman Begins,,,8.2
Green Book,,,8.2
1917,,,8.2
Die Hard,,,8.2
Downfall,,,8.2
Cunk on Britian,,,8.2
The Walking Dead,,,8.1
Shrinking,,,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,,,8.1
Gone Girl,,,8.1
How to Train your Dragon,,,8.1
The Gelp,,,8.1
Logan,,,8.1
Spotlight,,,8.1
Cunk on Earth,,,8.1
Reacher,,,8
Wednesday,,,8
Tulsa King,,,8
The Martian,,,8
The Avengers,,,8
The Incredibles,,,8
Rurouni Kenshin,,,8
The Witcher,,,7.9
Knives Out,,,7.9
Gaurdans of the Galaxy,,,7.9
Iron Man,,,7.9
From,,,7.8
You,,,7.7
The Sandman,,,7.7
Sherlock Holmes,,Movie,7.6
Mashle: Magic and Muscles,,,7.6
Just Mercy,,,7.6
John Wick,,,7.5
Doctor Strange,,,7.5
Castlevania: Nocturne,,,7.5
Quiet on Set: The Dark Side of Kids TV,,,7.5
Spider-Man,,,7.4
Vikings: Valhalla,,,7.4
Pirates of the Caribbean: Dead Man's Ches,,,7.4
John Wick: Chapter 2,,,7.4
Spider-Man: Homecoming,,,7.4
Spider-Man: Far From Home,,,7.4
Avengers: Age of Ultron,,,7.3
Cunk on Life,,,7.3
NieR:Automata Ver1.1a,,,7.3
The Way of the Househusband,,,7.3
Don't Look Up,,,7.2
I Am Legend,,,7.2
Barbarians,,,7.2
Free guy,,,7.1
Pirates of the Carribean: At World's End,,,7.1
Iron Man 3,,,7.1
Jeffrey Epstein: Filthy Rich,,,7.1
Rush Hour,,,7
Iron Man 2,,,6.9
The Amazing Spider-Man,,,6.9
Barbie,,,6.8
Captain Marvel,,,6.8
Rush Hour 2,,,6.7
The Amazing Spider-Man 2,,,6.6
The Pale Blue Eye,,,6.6
Spider-Man 3,,,6.3
Rush Hour 3,,,6.2
Jingle All The Way,,,5.8
